driver version:	441.20
NVML version:	10.441.20


devices_count:	1
devices:
- index:	0
  name:		GeForce GTX 950
  fan_speed:	0%
  temperature:	46C
  power_usage:	12404mW
  gpu_utilization:	0%
  memory_utilization:	19%


Monitoring GPUs with polling period of 250ms:


timestamp_ms,device_index,fan_speed,temperature,power_usage,gpu_utilization,memory_utilization
40154353,0,0,55,40633,43,18
40154605,0,0,56,41410,43,18
40154858,0,0,56,42239,43,18
40155110,0,0,56,41628,43,19
40155363,0,0,55,38663,42,19
40155615,0,0,56,37984,35,17
40155868,0,0,55,38081,35,17
40156120,0,0,55,39121,35,17
40156372,0,0,56,39701,35,17
40156625,0,0,55,37329,33,16
40156877,0,0,55,38262,33,17
40157130,0,0,55,37522,32,16
40157382,0,0,55,36857,31,16
40157635,0,0,55,37329,30,15
40157887,0,0,55,38456,31,15
40158140,0,0,56,39024,31,16
40158392,0,0,55,38356,31,16
40158645,0,0,55,37972,32,16
40158897,0,0,55,37425,32,16
40159149,0,0,55,28283,31,61
40159401,0,0,55,25140,72,69
40159654,0,0,55,26197,80,77
40159907,0,0,55,27327,82,77
40160159,0,0,55,26010,80,82
40160411,0,0,55,26230,79,77
40160664,0,0,55,27919,76,74
40160917,0,0,55,26657,76,77
40161170,0,0,55,26473,71,64
40161422,0,19,55,25218,73,70
40161674,0,35,55,26948,81,79
40161927,0,29,55,26883,80,78
40162179,0,27,55,27068,79,75
40162431,0,27,55,32397,80,79
40162684,0,0,55,27221,78,72
40162936,0,0,55,35707,87,20
40163189,0,0,55,42087,41,18
40163441,0,0,56,43569,49,21
40163694,0,0,55,42847,49,20
40163946,0,0,55,41030,47,20
40164198,0,0,55,40172,43,19
40164451,0,0,56,39605,43,19
40164703,0,0,55,40246,43,18
40164955,0,0,55,41117,43,18
40165208,0,0,56,42187,43,19
40165460,0,0,56,41517,43,18
40165712,0,0,55,38649,35,17
40165964,0,0,56,38188,34,17
40166216,0,0,56,37691,34,18
40166469,0,0,55,38069,34,17
40166721,0,0,56,38831,34,17
40166973,0,0,56,40075,34,18
40167225,0,0,56,39340,34,17
40167478,0,0,56,38772,34,17
40167730,0,0,56,38356,34,18
40167982,0,0,56,37885,34,18
40168235,0,0,56,37800,34,18
40168487,0,0,56,37522,34,17
40168739,0,0,56,39024,33,16
40168992,0,0,56,39021,31,15
40169244,0,0,55,38066,31,15
40169496,0,0,56,37716,30,15
40169748,0,0,56,37172,31,16
40170001,0,0,56,36781,31,15
40170253,0,0,55,24490,37,58
40170505,0,0,55,24943,74,71
40170758,0,0,56,41688,87,22
40171010,0,0,56,44610,48,20
40171262,0,0,56,42812,51,21
40171514,0,0,56,41854,44,19
40171767,0,29,56,41010,42,19
40172019,0,32,56,40559,44,19
40172271,0,25,56,41502,44,19
40172525,0,23,56,42557,44,19
40172777,0,23,56,41781,44,19
40173029,0,0,56,39205,42,18
40173282,0,0,56,38453,35,18
40173534,0,0,56,37972,37,18
40173787,0,0,56,38162,34,17
40174039,0,0,56,36781,32,16
40174291,0,0,55,39131,32,16
40174544,0,0,56,38356,32,16
40174796,0,0,56,37788,29,14
40175048,0,0,56,37425,30,15
40175300,0,0,56,36881,33,16
40175552,0,0,56,38091,31,16
40175804,0,0,56,39314,33,16
40176057,0,0,56,41020,40,19
40176309,0,0,56,44991,37,17
40176561,0,0,56,42529,48,20
40176813,0,0,56,41339,45,20
40177066,0,0,56,40353,44,19
40177317,0,0,56,40543,45,19
40177570,0,0,56,42316,43,18
40177821,0,17,56,42311,40,17
40178074,0,34,56,41954,41,17
40178326,0,28,56,41198,40,17
40178578,0,23,56,40365,40,17
40178831,0,23,56,39798,40,17
40179083,0,0,56,38549,41,18
40179335,0,0,56,24363,64,60
40179587,0,0,55,25431,76,73
40179840,0,0,56,26003,81,75
40180092,0,0,56,28385,81,81
40180345,0,0,55,26301,82,84
40180597,0,0,55,26583,79,79
40180851,0,0,55,25630,75,73
40181103,0,0,55,25322,79,75
40181358,0,0,55,24749,73,68
40181610,0,0,55,24280,71,68
40181863,0,0,55,24369,70,68
40182115,0,0,55,24573,68,66
40182368,0,0,55,25802,67,65
40182620,0,22,55,25325,69,67
40182873,0,34,55,24466,66,65
40183125,0,28,55,24458,67,66
40183378,0,23,55,25893,77,75
40183630,0,23,55,26195,84,83
40183882,0,0,55,29335,82,85
40184135,0,0,55,34187,77,82
40184388,0,0,55,25322,76,72
40184640,0,0,55,25419,76,74
40184893,0,0,55,25059,76,71
40185146,0,0,55,24863,73,70
40185398,0,0,55,24004,69,67
40185651,0,0,55,25140,75,70
40185904,0,0,55,25140,77,72
40186157,0,0,55,25710,78,73
40186409,0,0,55,26486,79,74
40186662,0,0,55,36757,81,19
40186914,0,0,55,41857,43,18
40187167,0,0,55,43273,43,18
40187419,0,27,56,41857,45,20
40187671,0,33,56,42253,47,19
40187924,0,26,56,41961,46,20
40188176,0,20,55,42529,44,20
40188428,0,20,55,41767,43,20
40188681,0,0,56,40920,43,20
40188932,0,0,55,40450,43,20
40189185,0,0,55,39782,43,19
40189437,0,0,55,40062,43,19
